Step@Data@Expected Result
Select Next@@The second page of the conversion wizard displays
Verify that the second page list all details for the members in the household@@"The second wizard page lists the member details for all members in the MEDS Household. The following member information must be displayed for each member:
-	Member Name – This must include the First Name, Middle Name, Last Name and Suffix
-	SSN
-	Eligibility Start and End Date (if currently eligible/previously eligible in the last 90 days)"
Check all members and Click next@@"Conversion IEG ""Before We Start"" screen appears and functions the same as the CGIS Intake Application IEG Script"
"Choose ""0001 No Sponsored Site"" for sponsored site and no for ""Is the application submitted by an Authorized Representative?"" and select next"@@"""About the applicant"" screen displays"
